anio;codigo_delito_snic_id;codigo_delito_snic_nombre;cantidad_hechos;cantidad_victimas;cantidad_victimas_masc;cantidad_victimas_fem;cantidad_victimas_sd;tasa_hechos;tasa_victimas;tasa_victimas_masc;tasa_victimas_fem
2005;5;Lesiones dolosas;142135;149315;71766;53782;23767;367,00092;385,5401;378,61697;271,98352
2005;6;Lesiones culposas en Accidentes Viales;73066;84614;47303;25673;11638;188,66071;218,47832;249,55716;129,83215
2005;7;Lesiones culposas por otros hechos;9532;9937;4231;2704;3002;24,612183;25,657917;22,32155;13,674527
2005;8;Otros delitos contra las personas;15832;16625;8411;5083;3131;40,879154;42,926723;44,374043;25,705481
2005;9;Delitos contra el honor;316;329;69;227;33;,81593055;,84949732;,36402434;1,1479725
2005;10;Abusos sexuales con acceso carnal (violaciones);3156;3223;272;2409;542;8,1489773;8,3219748;1,4349946;12,182669
2005;11;Otros delitos contra la integridad sexual;6852;7087;752;4896;1439;17,692266;18,299049;3,9673378;24,759794
2005;12;Delitos contra el estado civil;85;;;;;,21947499;;;
2005;13;Amenazas;131288;;;;;338,99332;;;
2005;14;Otros delitos contra la libertad;13210;13213;3;0;13210;34,108994;34,116741;,015827145;0
2005;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);322267;;;;;832,1123;;;
2005;16;Tentativas de robo (excluye las agravadas por el res, de lesiones y/o muerte);20767;;;;;53,621613;;;
2005;17;Robos agravados por el resultado de lesiones y/o muertes ;10823;;;;;27,945621;;;
2005;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;1475;;;;;3,8085365;;;
2005;19;Hurtos;292455;;;;;755,13599;;;
2005;20;Tentativas de hurto;11214;;;;;28,955206;;;
2005;21;Otros delitos contra la propiedad;80249;;;;;207,20763;;;
2005;22;Delitos contra la seguridad pública;5381;;;;;13,894057;;;
2005;23;Delitos contra el orden público;1371;;;;;3,5400023;;;
2005;24;Delitos contra la seguridad de la nación;37;;;;;,095536172;;;
2005;25;Delitos contra los poderes públicos y el orden constitucional;120;;;;;,30984703;;;
2005;26;Delitos contra la administración pública;13891;;;;;35,867378;;;
2005;27;Delitos contra la fe pública;5428;;;;;14,015414;;;
2005;28;Ley 23,737 (estupefacientes);22378;;;;;57,781307;;;
2005;29;Otros delitos previstos en leyes especiales;25332;;;;;65,408707;;;
2005;30;Contravenciones;126279;;;;;326,05978;;;
2005;31;Suicidios (consumados);2709;2712;3;0;2709;7,6876025;7,696116;,017472014;0
2006;1;Homicidios dolosos;2057;2111;1602;315;194;5,256537;5,3945308;8,366416;1,5762432
2006;2;Homicidios dolosos en grado de tentativa;836;894;631;160;103;2,1363466;2,2845621;3,2953863;,80063146
2006;3;Muertes en accidentes viales;3695;4326;2982;1011;333;9,4423456;11,054827;15,573442;5,05899
2006;4;Homicidios culposos por otros hechos;743;797;467;184;146;1,8986908;2,0366845;2,4388993;,92072618
2006;5;Lesiones dolosas;143482;150367;70691;55364;24312;366,65942;384,25363;369,1825;277,03851
2006;6;Lesiones culposas en Accidentes Viales;83888;96221;53947;28597;13677;214,37062;245,88686;281,73724;143,09785
2006;7;Lesiones culposas por otros hechos;11483;11814;5151;3120;3543;29,344101;30,189951;26,901005;15,612313
2006;8;Otros delitos contra las personas;17544;18381;8351;7018;3012;44,832615;46,971516;43,612949;35,117699
2006;9;Delitos contra el honor;358;373;79;247;47;,91484702;,95317858;,41257608;1,2359748
2006;10;Abusos sexuales con acceso carnal (violaciones);3272;3386;262;2411;713;8,3613949;8,6527147;1,3682903;12,064515
2006;11;Otros delitos contra la integridad sexual;7353;7683;826;5336;1521;18,79014;19,633434;4,3137703;26,701059
2006;12;Delitos contra el estado civil;168;;;;;,42931366;;;
2006;13;Amenazas;136351;;;;;348,43658;;;
2006;14;Otros delitos contra la libertad;15810;15810;0;0;15810;40,401482;40,401482;0;0
2006;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);318613;;;;;814,19592;;;
2006;16;Tentativas de robo (excluye las agravadas por el res, de lesiones y/o muerte);21061;;;;;53,820091;;;
2006;17;Robos agravados por el resultado de lesiones y/o muertes ;12605;;;;;32,211304;;;
2006;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;1761;;;;;4,5001273;;;
2006;19;Hurtos;280619;;;;;717,10461;;;
2006;20;Tentativas de hurto;11422;;;;;29,188219;;;
2006;21;Otros delitos contra la propiedad;83264;;;;;212,77603;;;
2006;22;Delitos contra la seguridad pública;5614;;;;;14,346231;;;
2006;23;Delitos contra el orden público;1457;;;;;3,723274;;;
2006;24;Delitos contra la seguridad de la nación;25;;;;;,063885964;;;
2006;25;Delitos contra los poderes públicos y el orden constitucional;184;;;;;,47020069;;;
2006;26;Delitos contra la administración pública;14740;;;;;37,667164;;;
2006;27;Delitos contra la fe pública;5039;;;;;12,876855;;;
2006;28;Ley 23,737 (estupefacientes);24552;;;;;62,741127;;;
2006;29;Otros delitos previstos en leyes especiales;26042;;;;;66,548729;;;
2006;30;Contravenciones;145785;;;;;372,54462;;;
2006;31;Suicidios (consumados);2746;2746;0;0;2746;7,7079339;7,7079339;0;0
2007;1;Homicidios dolosos;2071;2139;1779;315;45;5,237751;5,4097295;9,1970501;1,5596611
2007;2;Homicidios dolosos en grado de tentativa;780;827;607;159;61;1,9726924;2,0915596;3,1380606;,78725749
2007;3;Muertes en accidentes viales;3786;4364;3050;945;369;9,5751457;11,036961;15,767849;4,6789832
2007;4;Homicidios culposos por otros hechos;681;727;386;184;157;1,7223122;1,8386505;1,9955376;,91104013
2007;5;Lesiones dolosas;139142;146308;68955;54432;22921;351,90302;370,02652;356,48264;269,50943
2007;6;Lesiones culposas en Accidentes Viales;97056;111177;62776;30321;18080;245,46362;281,17694;324,53851;150,12852
2007;7;Lesiones culposas por otros hechos;10355;10920;5563;3382;1975;26,188755;27,617693;28,759523;16,745314
2007;8;Otros delitos contra las personas;22601;23753;9868;10705;3180;57,160027;60,07354;51,015453;53,003723
2007;9;Delitos contra el honor;640;650;86;235;329;1,6186194;1,6439103;,44460166;1,1635567
2007;10;Abusos sexuales con acceso carnal (violaciones);3281;3352;317;2173;862;8,2979536;8,477519;1,6388223;10,759186
2007;11;Otros delitos contra la integridad sexual;7283;7486;721;4557;2208;18,419382;18,932789;3,7274163;22,563097
2007;12;Delitos contra el estado civil;90;;;;;,22761835;;;
2007;13;Amenazas;133472;;;;;337,56308;;;
2007;14;Otros delitos contra la libertad;25395;25395;0;0;25395;64,226311;64,226311;0;0
2007;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);331723;;;;;838,95825;;;
2007;16;Tentativas de robo (excluye las agravadas por el res, de lesiones y/o muerte);21846;;;;;55,250561;;;
2007;17;Robos agravados por el resultado de lesiones y/o muertes ;12797;;;;;32,364799;;;
2007;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;1315;;;;;3,325757;;;
2007;19;Hurtos;248510;;;;;628,50482;;;
2007;20;Tentativas de hurto;16287;;;;;41,191334;;;
2007;21;Otros delitos contra la propiedad;79509;;;;;201,08563;;;
2007;22;Delitos contra la seguridad pública;5421;;;;;13,710212;;;
2007;23;Delitos contra el orden público;1815;;;;;4,5903034;;;
2007;24;Delitos contra la seguridad de la nación;112;;;;;,28325838;;;
2007;25;Delitos contra los poderes públicos y el orden constitucional;767;;;;;1,9398142;;;
2007;26;Delitos contra la administración pública;13258;;;;;33,530712;;;
2007;27;Delitos contra la fe pública;4249;;;;;10,746116;;;
2007;28;Ley 23,737 (estupefacientes);23638;;;;;59,782696;;;
2007;29;Otros delitos previstos en leyes especiales;23066;;;;;58,336056;;;
2007;30;Contravenciones;133316;;;;;337,16855;;;
2007;31;Suicidios (consumados);2768;2768;0;0;2768;7,6852694;7,6852694;0;0
2008;1;Homicidios dolosos;2305;2377;1952;358;67;5,7694583;5,9496756;9,9895992;1,75392
2008;2;Homicidios dolosos en grado de tentativa;993;1036;702;193;141;2,4854975;2,5931275;3,592571;,94554901
2008;3;Muertes en accidentes viales;3997;4554;3260;954;340;10,004566;11,398747;16,683449;4,6738539
2008;4;Homicidios culposos por otros hechos;617;641;427;131;83;1,5443625;1,604435;2,1852248;,64179754
2008;5;Lesiones dolosas;146338;154360;73586;58955;21819;366,28674;386,36597;376,58536;288,83337
2008;6;Lesiones culposas en Accidentes Viales;105615;121598;71923;34013;15662;264,35632;304,36206;368,07477;166,63708
2008;7;Lesiones culposas por otros hechos;9801;10335;4586;2821;2928;24,532085;25,868698;23,469416;13,820693
2008;8;Otros delitos contra las personas;29335;30411;12389;11426;6596;73,426056;76,119301;63,402225;55,978462
2008;9;Delitos contra el honor;247;257;47;201;9;,6182456;,6432758;,24052826;,98474276
2008;10;Abusos sexuales con acceso carnal (violaciones);3368;3494;358;2687;449;8,4301672;8,7455473;1,8321089;13,164198
2008;11;Otros delitos contra la integridad sexual;6994;7297;713;5070;1514;17,506113;18,264528;3,6488647;24,839033
2008;12;Delitos contra el estado civil;124;;;;;,31037432;;;
2008;13;Amenazas;142714;;;;;357,21582;;;
2008;14;Otros delitos contra la libertad;14914;14916;0;4;14912;37,330021;37,335026;0;,019596871
2008;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);361716;;;;;905,3819;;;
2008;16;Tentativas de robo (excluye las agravadas por el res, de lesiones y/o muerte);25116;;;;;62,865818;;;
2008;17;Robos agravados por el resultado de lesiones y/o muertes ;10048;;;;;25,150331;;;
2008;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;1485;;;;;3,7169828;;;
2008;19;Hurtos;272825;;;;;682,88605;;;
2008;20;Tentativas de hurto;11380;;;;;28,484352;;;
2008;21;Otros delitos contra la propiedad;86661;;;;;216,91411;;;
2008;22;Delitos contra la seguridad pública;5992;;;;;14,998088;;;
2008;23;Delitos contra el orden público;2126;;;;;5,3214178;;;
2008;24;Delitos contra la seguridad de la nación;36;;;;;,09010867;;;
2008;25;Delitos contra los poderes públicos y el orden constitucional;144;;;;;,36043468;;;
2008;26;Delitos contra la administración pública;16101;;;;;40,301105;;;
2008;27;Delitos contra la fe pública;3567;;;;;8,9282675;;;
2008;28;Ley 23,737 (estupefacientes);30003;;;;;75,098068;;;
